gene	effect	stderr	pval	mse
ACP6	0.689657458681691	0.110429667155238	1.60777915557119e-07	23.0723939461273
ACTA1	0.0656034194503653	0.152170054151209	0.668535418134508	43.8106324196824
ACTN2	-0.16238761464748	0.150474463769516	0.286528060408317	42.8397315548005
ADCY10	0.14379036670189	0.150913831138581	0.346018025286624	43.0902705395244
AK2	-0.0894459630762461	0.15188730673188	0.559011598871509	43.647974466332
AKT3	0.198016316840457	0.149478904031129	0.192264455507565	42.2747396836574
ALDH9A1	0.163736145959971	0.150440475326365	0.282490842644934	42.8203808782717
ANGPTL7	-0.157348262575335	0.150598922466305	0.301945945049104	42.910627067639
ASH1L	0.0769558254181613	0.152046336338035	0.615347770095134	43.7394232411052
ATAD3C	-0.305958323688658	0.145185487147546	0.0409555615741312	39.8811381832876
ATXN7L2	0.201484441846771	0.149371086185464	0.184434925279267	42.2137768665226
B3GALNT2	-0.0234974473577345	0.152456464999614	0.878231798906188	43.9757062785775
C1orf112	-0.245388451514416	0.147835901158145	0.104217186045907	41.3505183459877
C1orf159	0.0045065065956787	0.15249702180838	0.976561528126924	43.9991064215253
C1orf174	-0.00800627474659731	0.152493682641906	0.958371588550689	43.997179580846
C1orf216	-0.190457245423541	0.149707158927306	0.21013953074036	42.4039456572898
C1orf220	-0.00660030394349624	0.152495248571642	0.96567708113239	43.9980831834656
CADM3	-0.111543776974729	0.151546906225334	0.465706003329092	43.4525513760013
CAMSAP2	0.127144112996071	0.151260930762463	0.405243506463153	43.2887124793395
CAPN8	0.0511307740782012	0.152299097093184	0.738710095435549	43.8849683334552
CAPN9	0.616426199469658	0.120079309122104	6.53024482846976e-06	27.2808245867253
CAPZB	0.108017587743058	0.151606298631055	0.480011431388421	43.4866168324795
CD53	-0.0815420706433505	0.151990734931457	0.594382325730695	43.7074391914686
CDC42BPA	0.158003949121788	0.150582956512806	0.299910296887796	42.9015290907245
CDK11B	-0.198444087982951	0.149465710771355	0.191286193501257	42.267277533563
CEP104	0.150303134154663	0.150766180269647	0.324376354230501	43.0059945859846
CEP350	0.198463503233375	0.149465111265747	0.191241877086704	42.2669384669108
CHI3L1	0.156093535623246	0.150629285282022	0.305866044683587	42.9279315580119
CNTN2	-0.2146431246399	0.148944216890849	0.15680014552161	41.9728464779721
CRYZ	0.0301607769232126	0.152429192676117	0.844081219221435	43.9599744115571
CYP4B1	-0.165463854028615	0.150396507954419	0.277373071414826	42.7953553724399
CYP4X1	0.084511923003023	0.151953001827625	0.580976481675046	43.6857403342946
DDX59	0.237734581111932	0.148126459874547	0.115826656552768	41.5132198335155
DEPDC1	0.208072886668974	0.149160883474564	0.170193295209024	42.0950496486626
DNAH14	-0.00169318410989937	0.152498351735475	0.991192650615687	43.9998738576131
DNASE2B	0.317443848501772	0.144610897579676	0.0335987099460984	39.5660937341289
DPH2	-0.254886645441095	0.147461685837829	0.0910751441540851	41.1414431109346
DRAM2	0.12268379748525	0.151346567161275	0.422050718816495	43.3377421767223
EFCAB2	0.489082239781506	0.133014998518728	0.000651466038889743	33.4751367601334
EFCAB7	0.0121921733772775	0.152487235524382	0.936643716211985	43.9934594399669
EPB41	0.147447030969699	0.150831753878612	0.333760140111792	43.0434124145617
EPHB2	0.158569454906423	0.150569131767367	0.298161731376848	42.8936520307099
FAM110D	0.183472886018334	0.149909872155495	0.227658479767471	42.5188588042285
FAM213B	0.00933321608983117	0.152491928194876	0.95147981888197	43.9961672074065
FBXO2	0.262233487888723	0.147161799725219	0.0818217592017913	40.9742783045075
