gene	effect	stderr	pval	mse
ACTR5	0.999999999999999	8.70347803985469e-17	0	1.43320002741521e-29
BPI	0.99359178253189	0.0172366359996303	2.35710016098421e-42	0.562116266144456
C20orf196	0.998972673084437	0.00691072377075252	2.0053555660733e-59	0.0903583309434382
C20orf96	0.999990704507994	0.00065753057415398	2.35853685396597e-103	0.000817999494652221
CABLES2	0.992518871443032	0.0186187513816174	6.5049200621673e-41	0.655876752495826
CDC25B	0.970440874187314	0.0368038514499223	3.53264040068499e-28	2.56275842708872
CPNE1	0.999997567779921	0.000336342649298186	7.14294568510911e-116	0.000214035106678257
CST7	0.850729238955371	0.0801538871645724	1.37279727777551e-13	12.1554295274022
DHX35	0.999980513262559	0.000952024710806415	1.92368732079045e-96	0.00171481618657358
DIDO1	0.979295028908125	0.0308715441925625	1.82783525303057e-31	1.80317483965668
DNTTIP1	0.992814194784054	0.0182489086231747	2.74429857587662e-41	0.630078883952764
DOK5	0.984040841812178	0.0271360147052448	7.10240713174735e-34	1.39319935240553
ENTPD6	0.994259321914454	0.016316920014178	2.22886341456374e-43	0.503729634593262
FAM182B	0.999427779885792	0.00515822394293925	6.91828925862549e-65	0.0503409628725083
FAM210B	0.98552402225433	0.025853973451824	8.8506334034367e-35	1.26466566862449
FAM83C	0.996918343821561	0.011962942540795	3.5527797416224e-49	0.270767893091415
GGT7	0.999999999999999	1.05393021503239e-16	0	2.10157475531535e-29
HSPA12B	0.99757499524974	0.0106138663718761	2.06931133721542e-51	0.213141669509201
IFT52	0.999696196888234	0.00375875389792366	8.49701364254564e-71	0.0267306127968757
ITPA	1	7.05942458097248e-17	0	9.42887194841178e-30
KCNB1	0.943422718245654	0.0505673795711944	3.11022118914245e-22	4.83795728671119
KIF16B	1	6.92053215194308e-17	0	9.06150038834194e-30
KIF3B	0.998238496648092	0.00904755370992013	2.15687410758045e-54	0.154875767629319
LAMP5	1	3.23364902035045e-17	0	1.9783671487051e-30
MCM8	0.958547844194155	0.0434516653120363	4.50885821952396e-25	3.57218533719241
NDRG3	0.996357215061992	0.0130047397387394	1.28866118826838e-47	0.31998119973208
NSFL1C	0.992200572343678	0.0190091925381026	1.58832366823633e-40	0.68367306659864
PLCB4	0.998865217267344	0.00726296392420087	1.70067450058663e-58	0.0998042202723482
PREX1	0.999849636016953	0.00264445605594269	2.30557119935897e-77	0.0132310356977882
RBBP9	1	2.78736017204763e-17	0	1.46996607707333e-30
RBCK1	1	3.46122202169308e-17	0	2.26662695154934e-30
RBL1	0.986084556849541	0.0253520545210491	3.807419410773e-35	1.21603885668517
RNF24	0.999991800819331	0.000617540020576517	1.58801986806163e-104	0.000721524940909816
SALL4	0.996108611254841	0.0134403372257955	5.31505534778499e-47	0.341775921693952
SDC4	0.999521710936342	0.00471600285738563	1.46600678090521e-66	0.0420793721430449
SIRPB1	0.999583482808416	0.00440100648265839	7.50174208297018e-68	0.036645879450279
SLC13A3	0.999999999999999	1.93870966837698e-13	0	7.11126207726482e-23
SLC24A3	0.997975762382937	0.00969821093090889	4.27399107476921e-53	0.177952618632678
SPTLC3	0.999892515271359	0.00223584906256487	1.691703382175e-80	0.00945814778984258
SRMS	1	3.5546688449714e-17	0	2.39066887703003e-30
STK35	0.99265055546098	0.0184547685543747	4.44613965848551e-41	0.644374488692353
TCEA2	0.964882830734263	0.0400584233090305	1.35800514831579e-26	3.03604940998636
TMEM74B	0.953041675712728	0.0461825408354252	6.23330013517865e-24	4.03530883160574
TMX4	0.929452310690776	0.0562631694457677	3.10568827934968e-20	5.98920969466935
VAPB	0.999999999999999	9.95600770410617e-17	0	1.87538993152787e-29
WFDC3	0.98236150870321	0.0285159548235115	6.00361741327548e-33	1.53849811360747
YTHDF1	0.938430786271177	0.0526832702315429	1.82170952300898e-21	5.25129701265226
YWHAB	0.974793213246709	0.0340239968012166	1.20117240550967e-29	2.19024042195885
ZNF335	1	0	0	0
ZNF337	0.99984015952638	0.00272650810950894	8.57850003045601e-77	0.0140648375235444
